word	chosen_tier	also_fits	alternative_split
𐤅𐤄𐤁𐤀𐤅𐤕	plene	proclitic	𐤅 + 𐤄𐤁𐤀𐤅𐤕
𐤌𐤔𐤋𐤉	exact	plene	𐤉𐤌𐤔𐤋
𐤋𐤀𐤁𐤉	exact	plene	𐤋𐤀𐤁
𐤏𐤋𐤊𐤍	plene	adjacent	𐤏𐤋 + 𐤊𐤍
𐤌𐤔𐤋𐤉	exact	plene	𐤉𐤌𐤔𐤋
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤕𐤓𐤀𐤅𐤍𐤉	exact	plene	𐤅𐤕𐤉𐤓𐤀𐤍
𐤊𐤉𐤀𐤍𐤉	plene	adjacent	𐤊𐤉 + 𐤀𐤍𐤉
𐤄𐤋𐤊	exact	plene	𐤄𐤋𐤅𐤊
𐤀𐤋𐤀𐤁𐤉	plene	adjacent	𐤀𐤋 + 𐤀𐤁𐤉
𐤅𐤌𐤒𐤑𐤕	exact	plene	𐤌𐤒𐤑𐤅𐤕
𐤍𐤃𐤁𐤓𐤅	exact	plene	𐤍𐤃𐤁𐤓
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤌𐤄𐤆𐤄	adjacent	proclitic	𐤌 + 𐤄𐤆𐤄
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤀𐤋𐤉𐤍𐤅	exact	plene	𐤀𐤋𐤅𐤍
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤕𐤓𐤀𐤅𐤍𐤉	exact	plene	𐤅𐤕𐤉𐤓𐤀𐤍
𐤅𐤀𐤌𐤓𐤅	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤄𐤋𐤊	exact	plene	𐤄𐤋𐤅𐤊
𐤀𐤋𐤀𐤁𐤉	plene	adjacent	𐤀𐤋 + 𐤀𐤁𐤉
𐤅𐤉𐤀𐤌𐤓𐤅	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤌𐤄𐤆𐤄	adjacent	proclitic	𐤌 + 𐤄𐤆𐤄
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤌𐤏𐤈	exact	proclitic	𐤌 + 𐤏𐤈
𐤌𐤄𐤃𐤁𐤓	adjacent	proclitic	𐤌 + 𐤄𐤃𐤁𐤓
𐤅𐤉𐤃𐤏	exact	proclitic	𐤅 + 𐤉𐤃𐤏
𐤋𐤔𐤀𐤋	exact	plene	𐤋𐤔𐤀𐤅𐤋
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤀𐤋𐤉𐤄𐤌	exact	plene	𐤀𐤋𐤄𐤉𐤌
𐤁𐤉𐤍𐤉𐤊𐤌	exact	plene	𐤅𐤁𐤉𐤍𐤉𐤊𐤌
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤕𐤓𐤀𐤅𐤍𐤉	exact	plene	𐤅𐤕𐤉𐤓𐤀𐤍
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤕𐤁𐤊𐤅	exact	plene	𐤅𐤕𐤁𐤊
𐤅𐤕𐤉𐤋𐤉𐤋𐤅	plene	proclitic	𐤅 + 𐤕𐤉𐤋𐤉𐤋𐤅
𐤅𐤄𐤏𐤅𐤋𐤌	plene	proclitic	𐤅 + 𐤄𐤏𐤅𐤋𐤌
𐤉𐤔𐤌𐤇	exact	plene	𐤅𐤔𐤌𐤇
𐤕𐤏𐤑𐤁𐤅	exact	plene	𐤅𐤉𐤕𐤏𐤑𐤁
𐤉𐤄𐤐𐤊	exact	plene	𐤄𐤐𐤊𐤉
𐤋𐤔𐤔𐤅𐤍	exact	plene	𐤋𐤔𐤔𐤍
𐤄𐤀𐤔𐤄	exact	proclitic	𐤄 + 𐤀𐤔𐤄
𐤁𐤋𐤃𐤕𐤄	exact	proclitic	𐤁 + 𐤋𐤃𐤕𐤄
𐤏𐤑𐤁	exact	plene	𐤉𐤏𐤑𐤁
𐤁𐤀𐤄	exact	plene	𐤅𐤉𐤁𐤀𐤄
𐤏𐤕𐤄	exact	plene	𐤅𐤏𐤕𐤄
𐤅𐤀𐤇𐤓𐤉	exact	plene	𐤀𐤇𐤓
𐤀𐤕𐤄𐤉𐤋𐤃	adjacent	particle	𐤀𐤕 + 𐤄𐤉𐤋𐤃
𐤊𐤉𐤀𐤃𐤌	plene	adjacent	𐤊𐤉 + 𐤀𐤃𐤌
𐤋𐤏𐤅𐤋𐤌	exact	plene	𐤋𐤏𐤋𐤌
𐤊𐤏𐤕	exact	proclitic	𐤊 + 𐤏𐤕
𐤀𐤓𐤀𐤄	exact	plene	𐤅𐤀𐤓𐤀𐤄
𐤅𐤔𐤔	exact	proclitic	𐤅 + 𐤔𐤔
𐤋𐤁𐤊𐤌	exact	proclitic	𐤋 + 𐤁𐤊𐤌
𐤅𐤁𐤉𐤅𐤌	exact	proclitic	𐤅 + 𐤁𐤉𐤅𐤌
𐤄𐤄𐤅𐤀	exact	proclitic	𐤄 + 𐤄𐤅𐤀
𐤃𐤁𐤓	exact	plene	𐤅𐤉𐤃𐤁𐤓
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤊𐤋𐤀𐤔𐤓	adjacent	proclitic	𐤊 + 𐤋𐤀𐤔𐤓
𐤌𐤀𐤕	exact	plene	𐤅𐤌𐤀𐤕
𐤁𐤔𐤌𐤉	exact	plene	𐤁𐤔𐤌
𐤃𐤁𐤓	exact	plene	𐤅𐤉𐤃𐤁𐤓
𐤁𐤔𐤌𐤉	exact	plene	𐤁𐤔𐤌
𐤔𐤀𐤋𐤅	exact	plene	𐤅𐤉𐤔𐤀𐤋𐤅
𐤅𐤕𐤒𐤇𐤅	plene	proclitic	𐤅 + 𐤕𐤒𐤇𐤅
𐤕𐤌𐤋𐤀	exact	plene	𐤅𐤕𐤌𐤋𐤀
𐤀𐤕𐤀𐤋𐤄	adjacent	particle	𐤀𐤕 + 𐤀𐤋𐤄
𐤃𐤁𐤓𐤕𐤉	exact	plene	𐤃𐤁𐤓𐤕
𐤁𐤀𐤄	exact	plene	𐤅𐤉𐤁𐤀𐤄
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤁𐤉𐤅𐤌	exact	proclitic	𐤁 + 𐤉𐤅𐤌
𐤄𐤄𐤅𐤀	exact	proclitic	𐤄 + 𐤄𐤅𐤀
𐤁𐤔𐤌𐤉	exact	plene	𐤁𐤔𐤌
𐤅𐤀𐤉𐤍𐤍𐤉	exact	plene	𐤅𐤀𐤉𐤍𐤍𐤅
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤋𐤀𐤁𐤉	exact	plene	𐤋𐤀𐤁
𐤊𐤉𐤀𐤁𐤉	plene	adjacent	𐤊𐤉 + 𐤀𐤁𐤉
𐤀𐤄𐤁	exact	plene	𐤅𐤉𐤀𐤄𐤁
𐤅𐤄𐤀𐤌𐤍𐤕𐤌	plene	proclitic	𐤅 + 𐤄𐤀𐤌𐤍𐤕𐤌
𐤀𐤋𐤄𐤉𐤌	exact	adjacent	𐤀𐤋 + 𐤄𐤉𐤌
𐤉𐤑𐤀𐤕𐤉	exact	plene	𐤉𐤑𐤀𐤕
𐤌𐤀𐤕	exact	plene	𐤅𐤌𐤀𐤕
𐤄𐤀𐤁	exact	plene	𐤄𐤀𐤅𐤉𐤁
𐤉𐤑𐤀𐤕𐤉	exact	plene	𐤉𐤑𐤀𐤕
𐤅𐤀𐤁𐤀	exact	proclitic	𐤅 + 𐤀𐤁𐤀
𐤋𐤏𐤅𐤋𐤌	exact	plene	𐤋𐤏𐤋𐤌
𐤅𐤀𐤋𐤊	exact	plene	𐤅𐤀𐤋𐤉𐤊
𐤀𐤋𐤀𐤁𐤉	plene	adjacent	𐤀𐤋 + 𐤀𐤁𐤉
𐤅𐤉𐤀𐤌𐤓𐤅	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤄𐤍𐤄	exact	proclitic	𐤄 + 𐤍𐤄
𐤊𐤏𐤕	exact	proclitic	𐤊 + 𐤏𐤕
𐤁𐤓𐤅𐤓	exact	plene	𐤁𐤓𐤉𐤓
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤌𐤔𐤋	exact	plene	𐤉𐤌𐤔𐤋
𐤏𐤕𐤄	exact	plene	𐤅𐤏𐤕𐤄
𐤊𐤉𐤊𐤋	plene	adjacent	𐤊𐤉 + 𐤊𐤋
𐤉𐤃𐤏𐤕	exact	plene	𐤉𐤃𐤏𐤕𐤉
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤉𐤔𐤀𐤋𐤊	exact	plene	𐤅𐤔𐤀𐤋𐤊
𐤁𐤆𐤀𐤕	exact	proclitic	𐤁 + 𐤆𐤀𐤕
𐤌𐤀𐤕	exact	plene	𐤅𐤌𐤀𐤕
𐤀𐤋𐤄𐤉𐤌	exact	adjacent	𐤀𐤋 + 𐤄𐤉𐤌
𐤅𐤉𐤏𐤍	exact	proclitic	𐤅 + 𐤉𐤏𐤍
𐤏𐤕𐤄	exact	plene	𐤅𐤏𐤕𐤄
𐤕𐤀𐤌𐤉𐤍𐤅	exact	plene	𐤕𐤀𐤌𐤉𐤍
𐤄𐤍𐤄	exact	proclitic	𐤄 + 𐤍𐤄
𐤁𐤀𐤄	exact	plene	𐤅𐤉𐤁𐤀𐤄
𐤅𐤏𐤕𐤄	exact	proclitic	𐤅 + 𐤏𐤕𐤄
𐤅𐤍𐤐𐤑𐤅𐤕𐤌	plene	proclitic	𐤅 + 𐤍𐤐𐤑𐤅𐤕𐤌
𐤋𐤁𐤉𐤕𐤅	exact	plene	𐤋𐤁𐤉𐤕
𐤅𐤀𐤕𐤉	exact	proclitic	𐤅 + 𐤀𐤕𐤉
𐤕𐤏𐤆𐤁𐤅	exact	plene	𐤕𐤏𐤆𐤁
𐤋𐤁𐤃𐤉	exact	plene	𐤋𐤁𐤃𐤅
𐤅𐤀𐤉𐤍𐤍𐤉	exact	plene	𐤅𐤀𐤉𐤍𐤍𐤅
𐤋𐤁𐤃𐤉	exact	plene	𐤋𐤁𐤃𐤅
𐤀𐤕𐤀𐤋𐤄	adjacent	particle	𐤀𐤕 + 𐤀𐤋𐤄
𐤃𐤁𐤓𐤕𐤉	exact	plene	𐤃𐤁𐤓𐤕
𐤉𐤄𐤉𐤄𐤋𐤊𐤌	plene	adjacent	𐤉𐤄𐤉𐤄 + 𐤋𐤊𐤌
𐤔𐤋𐤅𐤌	exact	plene	𐤔𐤋𐤌
𐤁𐤏𐤅𐤋𐤌	plene	proclitic	𐤁 + 𐤏𐤅𐤋𐤌
𐤑𐤓𐤄	exact	plene	𐤑𐤓𐤉𐤄
𐤕𐤁𐤅𐤀	exact	plene	𐤕𐤁𐤉𐤀
𐤋𐤁𐤁𐤊𐤌	exact	adjacent	𐤋𐤁 + 𐤁𐤊𐤌
𐤀𐤕𐤀𐤋𐤄	adjacent	particle	𐤀𐤕 + 𐤀𐤋𐤄
𐤃𐤁𐤓	exact	plene	𐤅𐤉𐤃𐤁𐤓
𐤅𐤉𐤔𐤀	exact	proclitic	𐤅 + 𐤉𐤔𐤀
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤐𐤀𐤓	exact	plene	𐤐𐤀𐤓𐤉
𐤀𐤕𐤁𐤍𐤊	adjacent	particle	𐤀𐤕 + 𐤁𐤍𐤊
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤋𐤊𐤋	exact	plene	𐤅𐤋𐤊𐤋
𐤅𐤀𐤋𐤄	exact	plene	𐤀𐤋𐤄
𐤋𐤃𐤏𐤕	exact	proclitic	𐤋 + 𐤃𐤏𐤕
𐤋𐤁𐤃𐤊	exact	proclitic	𐤋 + 𐤁 + 𐤃𐤊
𐤀𐤌𐤕	exact	plene	𐤅𐤀𐤌𐤕𐤅
𐤄𐤌𐤔𐤉𐤇	exact	proclitic	𐤄 + 𐤌𐤔𐤉𐤇
𐤔𐤋𐤇𐤕	exact	plene	𐤅𐤔𐤋𐤇𐤕𐤉
𐤁𐤀𐤓𐤑	exact	proclitic	𐤁 + 𐤀𐤓𐤑
𐤊𐤋𐤉𐤕𐤉	exact	plene	𐤊𐤋𐤕𐤅
𐤋𐤏𐤔𐤅𐤕	exact	proclitic	𐤋 + 𐤏𐤔𐤅𐤕
𐤅𐤏𐤕𐤄	exact	proclitic	𐤅 + 𐤏𐤕𐤄
𐤁𐤊𐤁𐤅𐤃	exact	plene	𐤁𐤊𐤁𐤃𐤉
𐤄𐤏𐤅𐤋𐤌	exact	plene	𐤄𐤏𐤋𐤉𐤌
𐤀𐤕𐤔𐤌𐤊	adjacent	particle	𐤀𐤕 + 𐤔𐤌𐤊
𐤄𐤅𐤃𐤏𐤕𐤉	exact	plene	𐤄𐤃𐤏𐤕
𐤋𐤁𐤍𐤉	exact	proclitic	𐤋 + 𐤁𐤍𐤉
𐤄𐤀𐤃𐤌	exact	proclitic	𐤄 + 𐤀𐤃𐤌
𐤍𐤕𐤕𐤌	exact	plene	𐤅𐤍𐤕𐤕𐤌
𐤌𐤕𐤅𐤊	exact	proclitic	𐤌 + 𐤕𐤅𐤊
𐤄𐤏𐤅𐤋𐤌	exact	plene	𐤄𐤏𐤋𐤉𐤌
𐤅𐤋𐤉	exact	proclitic	𐤅 + 𐤋𐤉
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤍𐤑𐤓𐤅	exact	plene	𐤍𐤑𐤓
𐤅𐤏𐤕𐤄	exact	proclitic	𐤅 + 𐤏𐤕𐤄
𐤊𐤉𐤊𐤋	plene	adjacent	𐤊𐤉 + 𐤊𐤋
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤌𐤏𐤌𐤊	exact	plene	𐤅𐤌𐤏𐤌𐤊
𐤄𐤃𐤁𐤓𐤉𐤌	exact	proclitic	𐤄 + 𐤃𐤁𐤓𐤉𐤌
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤅𐤄𐤌	exact	proclitic	𐤅 + 𐤄𐤌
𐤁𐤀𐤌𐤕	exact	proclitic	𐤁 + 𐤀𐤌𐤕
𐤌𐤏𐤌𐤊	exact	plene	𐤅𐤌𐤏𐤌𐤊
𐤉𐤑𐤀𐤕𐤉	exact	plene	𐤉𐤑𐤀𐤕
𐤅𐤉𐤀𐤌𐤉𐤍𐤅	exact	plene	𐤅𐤉𐤀𐤌𐤍𐤅
𐤁𐤏𐤃	exact	plene	𐤁𐤏𐤃𐤅
𐤄𐤏𐤅𐤋𐤌	exact	plene	𐤄𐤏𐤋𐤉𐤌
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤊𐤉𐤋𐤊	plene	adjacent	𐤊𐤉 + 𐤋𐤊
𐤄𐤌𐤄	exact	proclitic	𐤄 + 𐤌𐤄
𐤅𐤊𐤋𐤀𐤔𐤓	adjacent	proclitic	𐤅 + 𐤊 + 𐤋𐤀𐤔𐤓
𐤅𐤔𐤋𐤊	plene	proclitic	𐤅 + 𐤔 + 𐤋𐤊
𐤔𐤋𐤉	exact	proclitic	𐤔 + 𐤋𐤉
𐤁𐤄𐤌	exact	proclitic	𐤁 + 𐤄𐤌
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤀𐤉𐤍𐤍𐤉	exact	plene	𐤅𐤀𐤉𐤍𐤍𐤅
𐤁𐤏𐤅𐤋𐤌	plene	proclitic	𐤁 + 𐤏𐤅𐤋𐤌
𐤅𐤄𐤌	exact	proclitic	𐤅 + 𐤄𐤌
𐤁𐤏𐤅𐤋𐤌	plene	proclitic	𐤁 + 𐤏𐤅𐤋𐤌
𐤄𐤌𐤄	exact	proclitic	𐤄 + 𐤌𐤄
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤀𐤋𐤉𐤊	exact	plene	𐤅𐤀𐤋𐤉𐤊
𐤄𐤒𐤃𐤅𐤔	exact	plene	𐤄𐤒𐤃𐤔
𐤁𐤔𐤌𐤊	exact	proclitic	𐤁 + 𐤔𐤌𐤊
𐤀𐤕𐤀𐤔𐤓	adjacent	particle	𐤀𐤕 + 𐤀𐤔𐤓
𐤍𐤕𐤕𐤌	exact	plene	𐤅𐤍𐤕𐤕𐤌
𐤊𐤌𐤍𐤅	exact	proclitic	𐤊 + 𐤌𐤍𐤅
𐤁𐤄𐤉𐤅𐤕𐤉	plene	proclitic	𐤁 + 𐤄𐤉𐤅𐤕𐤉
𐤁𐤏𐤅𐤋𐤌	plene	proclitic	𐤁 + 𐤏𐤅𐤋𐤌
𐤁𐤔𐤌𐤊	exact	proclitic	𐤁 + 𐤔𐤌𐤊
𐤀𐤕𐤀𐤔𐤓	adjacent	particle	𐤀𐤕 + 𐤀𐤔𐤓
𐤍𐤕𐤕𐤌	exact	plene	𐤅𐤍𐤕𐤕𐤌
𐤔𐤌𐤓𐤕𐤉	exact	plene	𐤅𐤔𐤌𐤓𐤕
𐤌𐤄𐤌	exact	proclitic	𐤌 + 𐤄𐤌
𐤋𐤌𐤋𐤀𐤕	exact	proclitic	𐤋 + 𐤌𐤋𐤀𐤕
𐤃𐤁𐤓	exact	plene	𐤅𐤉𐤃𐤁𐤓
𐤄𐤊𐤕𐤅𐤁	exact	proclitic	𐤄 + 𐤊𐤕𐤅𐤁
𐤅𐤏𐤕𐤄	exact	proclitic	𐤅 + 𐤏𐤕𐤄
𐤄𐤍𐤍𐤉	exact	plene	𐤅𐤄𐤍𐤍𐤉
𐤀𐤋𐤉𐤊	exact	plene	𐤅𐤀𐤋𐤉𐤊
𐤅𐤀𐤋𐤄	exact	plene	𐤀𐤋𐤄
𐤌𐤃𐤁𐤓	exact	proclitic	𐤌 + 𐤃𐤁𐤓
𐤁𐤏𐤅𐤋𐤌	plene	proclitic	𐤁 + 𐤏𐤅𐤋𐤌
𐤕𐤌𐤋𐤀	exact	plene	𐤅𐤕𐤌𐤋𐤀
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤔𐤌𐤇𐤕𐤉	exact	plene	𐤅𐤔𐤌𐤇𐤕
𐤁𐤒𐤓𐤁𐤌	exact	proclitic	𐤁 + 𐤒𐤓𐤁𐤌
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤅𐤄𐤏𐤅𐤋𐤌	plene	proclitic	𐤅 + 𐤄𐤏𐤅𐤋𐤌
𐤔𐤍𐤀	exact	plene	𐤔𐤍𐤀𐤉𐤅
𐤄𐤌𐤄	exact	proclitic	𐤄 + 𐤌𐤄
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤕𐤒𐤇𐤌	exact	plene	𐤅𐤕𐤒𐤇𐤌
𐤀𐤉𐤍𐤌𐤅	exact	plene	𐤅𐤀𐤅𐤍𐤌
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤀𐤉𐤍𐤍𐤉	exact	plene	𐤅𐤀𐤉𐤍𐤍𐤅
𐤒𐤃𐤔	exact	plene	𐤅𐤉𐤒𐤃𐤔
𐤁𐤀𐤌𐤕𐤊	exact	proclitic	𐤁 + 𐤀𐤌𐤕𐤊
𐤀𐤌𐤕	exact	plene	𐤅𐤀𐤌𐤕𐤅
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤔𐤋𐤇𐤕	exact	plene	𐤅𐤔𐤋𐤇𐤕𐤉
𐤔𐤋𐤇𐤕𐤉	exact	plene	𐤅𐤔𐤋𐤇𐤕𐤉
𐤌𐤒𐤃𐤔𐤉𐤌	exact	plene	𐤌𐤒𐤃𐤔𐤌
𐤁𐤀𐤌𐤕	exact	proclitic	𐤁 + 𐤀𐤌𐤕
𐤀𐤅𐤋𐤌	exact	plene	𐤅𐤀𐤅𐤋𐤌
𐤋𐤁𐤃	exact	plene	𐤋𐤁𐤃𐤅
𐤏𐤋𐤐𐤉	plene	adjacent	𐤏𐤋 + 𐤐𐤉
𐤊𐤋𐤌	exact	proclitic	𐤊 + 𐤋𐤌
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤅𐤄𐤉𐤅	exact	proclitic	𐤅 + 𐤄𐤉𐤅
𐤊𐤀𐤇𐤃	exact	proclitic	𐤊 + 𐤀𐤇𐤃
𐤉𐤀𐤌𐤉𐤍	exact	plene	𐤅𐤉𐤀𐤌𐤍𐤅
𐤄𐤏𐤅𐤋𐤌	exact	plene	𐤄𐤏𐤋𐤉𐤌
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤁𐤄𐤌	exact	proclitic	𐤁 + 𐤄𐤌
𐤅𐤀𐤕𐤄	exact	plene	𐤀𐤕𐤄
𐤌𐤔𐤋𐤌𐤉𐤌	exact	proclitic	𐤌 + 𐤔𐤋𐤌𐤉𐤌
𐤋𐤀𐤇𐤃	exact	proclitic	𐤋 + 𐤀𐤇𐤃
𐤅𐤋𐤌𐤏𐤍	exact	plene	𐤋𐤌𐤏𐤍
𐤄𐤏𐤅𐤋𐤌	exact	plene	𐤄𐤏𐤋𐤉𐤌
𐤅𐤀𐤄𐤁𐤕	exact	plene	𐤀𐤄𐤁𐤕
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤇𐤐𐤑𐤕𐤉	exact	plene	𐤇𐤐𐤑𐤕
𐤍𐤕𐤕𐤌	exact	plene	𐤅𐤍𐤕𐤕𐤌
𐤁𐤀𐤔𐤓	exact	proclitic	𐤁 + 𐤀𐤔𐤓
𐤀𐤄𐤉𐤄	exact	plene	𐤅𐤀𐤄𐤉𐤄
𐤀𐤕𐤊𐤁𐤅𐤃𐤉	adjacent	particle	𐤀𐤕 + 𐤊𐤁𐤅𐤃𐤉
𐤍𐤕𐤕	exact	plene	𐤍𐤕𐤕𐤉
𐤋𐤐𐤍𐤉	exact	proclitic	𐤋 + 𐤐𐤍𐤉
𐤄𐤑𐤃𐤉𐤒	exact	proclitic	𐤄 + 𐤑𐤃𐤉𐤒
𐤄𐤏𐤅𐤋𐤌	exact	plene	𐤄𐤏𐤋𐤉𐤌
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤅𐤀𐤋𐤄	exact	plene	𐤀𐤋𐤄
𐤄𐤊𐤉𐤓𐤅	exact	proclitic	𐤄 + 𐤊 + 𐤉𐤓𐤅
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤀𐤕𐤔𐤌𐤊	adjacent	particle	𐤀𐤕 + 𐤔𐤌𐤊
𐤋𐤄𐤅𐤃𐤉𐤏𐤌	exact	proclitic	𐤋 + 𐤄𐤅𐤃𐤉𐤏𐤌
𐤄𐤀𐤄𐤁𐤄	exact	plene	𐤄𐤀𐤄𐤅𐤁𐤄
𐤅𐤀𐤍𐤉	exact	proclitic	𐤅 + 𐤀𐤍𐤉
𐤀𐤄𐤉𐤄	exact	plene	𐤅𐤀𐤄𐤉𐤄
𐤁𐤄𐤌	exact	proclitic	𐤁 + 𐤄𐤌
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤊𐤊𐤋𐤅𐤕	exact	plene	𐤊𐤊𐤋𐤕𐤅
𐤋𐤃𐤁𐤓	exact	proclitic	𐤋 + 𐤃𐤁𐤓
𐤀𐤕𐤄𐤃𐤁𐤓𐤉𐤌	adjacent	particle	𐤀𐤕 + 𐤄𐤃𐤁𐤓𐤉𐤌
𐤄𐤀𐤋𐤄	exact	proclitic	𐤄 + 𐤀𐤋𐤄
𐤅𐤉𐤑𐤀	exact	proclitic	𐤅 + 𐤉𐤑𐤀
𐤄𐤇𐤅𐤑𐤄	exact	proclitic	𐤄 + 𐤇𐤅𐤑𐤄
𐤌𐤏𐤁𐤓	exact	proclitic	𐤌 + 𐤏𐤁𐤓
𐤋𐤍𐤇𐤋	exact	proclitic	𐤋 + 𐤍𐤇𐤋
𐤅𐤔𐤌	exact	proclitic	𐤅 + 𐤔𐤌
𐤅𐤉𐤁𐤀	exact	proclitic	𐤅 + 𐤉𐤁𐤀
𐤌𐤅𐤎𐤓𐤅	plene	proclitic	𐤌 + 𐤅𐤎𐤓𐤅
𐤀𐤕𐤄𐤌𐤒𐤅𐤌	adjacent	particle	𐤀𐤕 + 𐤄𐤌𐤒𐤅𐤌
𐤍𐤅𐤏𐤃	exact	plene	𐤅𐤍𐤅𐤏𐤃𐤅
𐤔𐤌𐤄	exact	proclitic	𐤔 + 𐤌𐤄
𐤅𐤉𐤒𐤇	exact	proclitic	𐤅 + 𐤉𐤒𐤇
𐤀𐤕𐤄𐤂𐤃𐤅𐤃	adjacent	particle	𐤀𐤕 + 𐤄𐤂𐤃𐤅𐤃
𐤅𐤌𐤔𐤓𐤕𐤉𐤌	exact	plene	𐤌𐤔𐤓𐤕𐤉𐤌
𐤌𐤀𐤕	exact	plene	𐤅𐤌𐤀𐤕
𐤄𐤊𐤄𐤍𐤉𐤌	exact	proclitic	𐤄 + 𐤊𐤄𐤍𐤉𐤌
𐤄𐤂𐤃𐤅𐤋𐤉𐤌	exact	plene	𐤄𐤂𐤃𐤋𐤉𐤌
𐤅𐤉𐤁𐤀	exact	proclitic	𐤅 + 𐤉𐤁𐤀
𐤔𐤌𐤄	exact	proclitic	𐤔 + 𐤌𐤄
𐤅𐤁𐤋𐤐𐤉𐤃𐤉𐤌	plene	proclitic	𐤅 + 𐤁𐤋𐤐𐤉𐤃𐤉𐤌
𐤅𐤉𐤔𐤅𐤏	exact	proclitic	𐤅 + 𐤉𐤔𐤅𐤏
𐤊𐤋𐤀𐤔𐤓	adjacent	proclitic	𐤊 + 𐤋𐤀𐤔𐤓
𐤅𐤉𐤑𐤀	exact	proclitic	𐤅 + 𐤉𐤑𐤀
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤀𐤋𐤉𐤄𐤌	exact	plene	𐤀𐤋𐤄𐤉𐤌
𐤀𐤕𐤌𐤉	plene	adjacent	𐤀𐤕 + 𐤌𐤉
𐤕𐤁𐤒𐤔𐤅	exact	plene	𐤕𐤁𐤒𐤔
𐤅𐤉𐤏𐤍𐤅	exact	proclitic	𐤅 + 𐤉𐤏𐤍𐤅
𐤅𐤉𐤀𐤌𐤓𐤅	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤄𐤍𐤑𐤓𐤉	plene	proclitic	𐤄 + 𐤍𐤑𐤓𐤉
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤀𐤋𐤉𐤄𐤌	exact	plene	𐤀𐤋𐤄𐤉𐤌
