word	chosen_tier	also_fits	alternative_split
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤅𐤀𐤌𐤅𐤍	plene	proclitic	𐤅 + 𐤀𐤌𐤅𐤍
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤀𐤔𐤉𐤄𐤅	adjacent	particle	𐤀𐤕 + 𐤉𐤀𐤔𐤉𐤄𐤅
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤊𐤍𐤉𐤄𐤅	adjacent	particle	𐤀𐤕 + 𐤉𐤊𐤍𐤉𐤄𐤅
𐤋𐤏𐤕	exact	proclitic	𐤋 + 𐤏𐤕
𐤂𐤋𐤅𐤕	exact	plene	𐤂𐤋𐤅𐤕𐤉
𐤁𐤁𐤋	exact	proclitic	𐤁 + 𐤁𐤋
𐤅𐤀𐤇𐤓𐤉	exact	plene	𐤀𐤇𐤓
𐤁𐤁𐤋𐤄	exact	proclitic	𐤁 + 𐤁𐤋𐤄
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤉𐤊𐤍𐤉𐤄𐤅	exact	plene	𐤉𐤊𐤍𐤉𐤄
𐤅𐤔𐤀𐤋𐤕𐤉𐤀𐤋	plene	proclitic	𐤅 + 𐤔𐤀𐤋𐤕𐤉𐤀𐤋
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤅𐤆𐤓𐤁𐤁𐤋	exact	plene	𐤆𐤓𐤁𐤁𐤋
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤀𐤋𐤉𐤒𐤉𐤌	adjacent	particle	𐤀𐤕 + 𐤀𐤋𐤉𐤒𐤉𐤌
𐤅𐤀𐤋𐤉𐤒𐤉𐤌	plene	proclitic	𐤅 + 𐤀𐤋𐤉𐤒𐤉𐤌
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤏𐤆𐤅𐤓	exact	plene	𐤏𐤆𐤓
𐤅𐤏𐤆𐤅𐤓	plene	proclitic	𐤅 + 𐤏𐤆𐤅𐤓
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤑𐤃𐤅𐤒	adjacent	particle	𐤀𐤕 + 𐤑𐤃𐤅𐤒
