strongs	class	lemma	root_paleo	surface	count
H1021	sn-mismatch	𐤁𐤉𐤕𐤄𐤊𐤓𐤌	𐤄𐤊𐤓𐤌	𐤄𐤊𐤓𐤌	
H1022	sn-mismatch	𐤁𐤉𐤕𐤄𐤋𐤇𐤌𐤉	𐤄𐤋𐤇𐤌𐤉	𐤄𐤋𐤇𐤌𐤉	
H1174	sn-mismatch	𐤁𐤏𐤋𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	
H5555	sn-mismatch	𐤎𐤋𐤏𐤄𐤌𐤇𐤋𐤒𐤅𐤕	𐤄𐤌𐤇𐤋𐤒𐤅𐤕	𐤄𐤌𐤇𐤋𐤒𐤅𐤕	
H1038	sn-mismatch	𐤁𐤉𐤕𐤌𐤏𐤊𐤄	𐤄𐤌𐤏𐤊𐤄	𐤄𐤌𐤏𐤊𐤄	
H1024	sn-mismatch	𐤁𐤉𐤕𐤄𐤌𐤓𐤊𐤁𐤅𐤕	𐤄𐤌𐤓𐤊𐤁𐤅𐤕	𐤄𐤌𐤓𐤊𐤁𐤅𐤕	
H5863	sn-mismatch	𐤏𐤉𐤉𐤄𐤏𐤁𐤓𐤉𐤌	𐤄𐤏𐤁𐤓𐤉𐤌	𐤄𐤏𐤁𐤓𐤉𐤌	
H72	sn-mismatch	𐤀𐤁𐤍𐤄𐤏𐤆𐤓	𐤄𐤏𐤆𐤓	𐤄𐤏𐤆𐤓	
H33	sn-mismatch	𐤀𐤁𐤉𐤄𐤏𐤆𐤓𐤉	𐤄𐤏𐤆𐤓𐤉	𐤄𐤏𐤆𐤓𐤉	
H33	sn-mismatch	𐤀𐤁𐤉𐤄𐤏𐤆𐤓𐤉	𐤄𐤏𐤆𐤓𐤉	𐤄𐤏𐤆𐤓𐤉	
H3726	sn-mismatch	𐤊𐤐𐤓𐤄𐤏𐤌𐤅𐤍𐤉	𐤄𐤏𐤌𐤍𐤉	𐤄𐤏𐤌𐤍𐤉	
H1025	sn-mismatch	𐤁𐤉𐤕𐤄𐤏𐤌𐤒	𐤄𐤏𐤌𐤒	𐤄𐤏𐤌𐤒	
H1026	sn-mismatch	𐤁𐤉𐤕𐤄𐤏𐤓𐤁𐤄	𐤄𐤏𐤓𐤁𐤄	𐤄𐤏𐤓𐤁𐤄	
H7163	sn-mismatch	𐤒𐤓𐤍𐤄𐤐𐤅𐤊	𐤄𐤐𐤅𐤊	𐤄𐤐𐤅𐤊	
H6380	sn-mismatch	𐤐𐤊𐤓𐤕𐤑𐤁𐤉𐤉𐤌	𐤄𐤑𐤁𐤉𐤉𐤌	𐤄𐤑𐤁𐤉𐤉𐤌	
H2521	sn-mismatch	𐤇𐤋𐤒𐤕𐤄𐤑𐤓𐤉𐤌	𐤄𐤑𐤓𐤉𐤌	𐤄𐤑𐤓𐤉𐤌	
H5875	sn-mismatch	𐤏𐤉𐤍𐤄𐤒𐤅𐤓𐤀	𐤄𐤒𐤅𐤓𐤀	𐤄𐤒𐤅𐤓𐤀	
H1027	sn-mismatch	𐤁𐤉𐤕𐤄𐤓𐤌	𐤄𐤓𐤌	𐤄𐤓𐤌	
H1028	sn-mismatch	𐤁𐤉𐤕𐤄𐤓𐤍	𐤄𐤓𐤍	𐤄𐤓𐤍	
H6890	sn-mismatch	𐤑𐤓𐤕𐤄𐤔𐤇𐤓	𐤄𐤔𐤇𐤓	𐤄𐤔𐤇𐤓	
H1029	sn-mismatch	𐤁𐤉𐤕𐤄𐤔𐤈𐤄	𐤄𐤔𐤈𐤄	𐤄𐤔𐤈𐤄	
H63	sn-mismatch	𐤀𐤁𐤋𐤄𐤔𐤈𐤉𐤌	𐤄𐤔𐤈𐤉𐤌	𐤄𐤔𐤈𐤉𐤌	
H1030	sn-mismatch	𐤁𐤉𐤕𐤄𐤔𐤌𐤔𐤉	𐤄𐤔𐤌𐤔𐤉	𐤄𐤔𐤌𐤔𐤉	
H6914	sn-mismatch	𐤒𐤁𐤓𐤅𐤕𐤄𐤕𐤀𐤅𐤄	𐤄𐤕𐤀𐤅𐤄	𐤄𐤕𐤀𐤅𐤄	
H2694	sn-mismatch	𐤇𐤑𐤓𐤄𐤕𐤉𐤊𐤅𐤍	𐤄𐤕𐤉𐤊𐤅𐤍	𐤄𐤕𐤉𐤊𐤅𐤍	
H1176	sn-mismatch	𐤁𐤏𐤋𐤆𐤁𐤅𐤁	𐤆𐤁𐤅𐤁	𐤆𐤁𐤅𐤁	
H1031	sn-mismatch	𐤁𐤉𐤕𐤇𐤂𐤋𐤄	𐤇𐤂𐤋𐤄	𐤇𐤂𐤋𐤄	
H5876	sn-mismatch	𐤏𐤉𐤍𐤇𐤃𐤄	𐤇𐤃𐤄	𐤇𐤃𐤄	
H634	sn-mismatch	𐤀𐤎𐤓𐤇𐤃𐤅𐤍	𐤇𐤃𐤍	𐤇𐤃𐤍	
H8483	sn-mismatch	𐤕𐤇𐤕𐤉𐤌𐤇𐤃𐤔𐤉	𐤇𐤃𐤔𐤉	𐤇𐤃𐤔𐤉	
H1032	sn-mismatch	𐤁𐤉𐤕𐤇𐤅𐤓𐤅𐤍	𐤇𐤅𐤓𐤅𐤍	𐤇𐤅𐤓𐤅𐤍	
H1032	sn-mismatch	𐤁𐤉𐤕𐤇𐤅𐤓𐤅𐤍	𐤇𐤅𐤓𐤍	𐤇𐤅𐤓𐤍	
H6367	sn-mismatch	𐤐𐤉𐤄𐤇𐤉𐤓𐤕	𐤇𐤉𐤓𐤕	𐤇𐤉𐤓𐤕	
H1135	sn-mismatch	𐤁𐤍𐤇𐤍𐤍	𐤇𐤍𐤍	𐤇𐤍𐤍	
H1177	sn-mismatch	𐤁𐤏𐤋𐤇𐤍𐤍	𐤇𐤍𐤍	𐤇𐤍𐤍	
H358	sn-mismatch	𐤀𐤉𐤋𐤅𐤍𐤁𐤉𐤕𐤇𐤍𐤍	𐤇𐤍𐤍	𐤇𐤍𐤍	
H3142	sn-mismatch	𐤉𐤅𐤔𐤁𐤇𐤎𐤃	𐤇𐤎𐤃	𐤇𐤎𐤃	
H1662	sn-mismatch	𐤂𐤕𐤄𐤇𐤐𐤓	𐤇𐤐𐤓	𐤇𐤐𐤓	
H6548	sn-mismatch	𐤐𐤓𐤏𐤄𐤇𐤐𐤓𐤏	𐤇𐤐𐤓𐤏	𐤇𐤐𐤓𐤏	
H1178	sn-mismatch	𐤁𐤏𐤋𐤇𐤑𐤅𐤓	𐤇𐤑𐤅𐤓	𐤇𐤑𐤅𐤓	
H5877	sn-mismatch	𐤏𐤉𐤍𐤇𐤑𐤅𐤓	𐤇𐤑𐤅𐤓	𐤇𐤑𐤅𐤓	
H7155	sn-mismatch	𐤒𐤓𐤉𐤕𐤇𐤑𐤅𐤕	𐤇𐤑𐤅𐤕	𐤇𐤑𐤅𐤕	
H5878	sn-mismatch	𐤏𐤉𐤍𐤇𐤓𐤃	𐤇𐤓𐤃	𐤇𐤓𐤃	
H1032	sn-mismatch	𐤁𐤉𐤕𐤇𐤅𐤓𐤅𐤍	𐤇𐤓𐤅𐤍	𐤇𐤓𐤅𐤍	
H1179	sn-mismatch	𐤁𐤏𐤋𐤇𐤓𐤌𐤅𐤍	𐤇𐤓𐤌𐤅𐤍	𐤇𐤓𐤌𐤅𐤍	
H1032	sn-mismatch	𐤁𐤉𐤕𐤇𐤅𐤓𐤅𐤍	𐤇𐤓𐤍	𐤇𐤓𐤍	
H8556	sn-mismatch	𐤕𐤌𐤍𐤕𐤇𐤓𐤎	𐤇𐤓𐤎	𐤇𐤓𐤎	
H7025	sn-mismatch	𐤒𐤉𐤓𐤇𐤓𐤔	𐤇𐤓𐤔	𐤇𐤓𐤔	
H7025	sn-mismatch	𐤒𐤉𐤓𐤇𐤓𐤔	𐤇𐤓𐤔𐤕	𐤇𐤓𐤔𐤕	
H4122	sn-mismatch	𐤌𐤄𐤓𐤔𐤋𐤋𐤇𐤔𐤁𐤆	𐤇𐤔	𐤇𐤔	
H2334	sn-mismatch	𐤇𐤅𐤅𐤕𐤉𐤏𐤉𐤓	𐤉𐤀𐤉𐤓	𐤉𐤀𐤉𐤓	
H1184	sn-mismatch	𐤁𐤏𐤋𐤉𐤉𐤄𐤅𐤃𐤄	𐤉𐤄𐤅𐤃𐤄	𐤉𐤄𐤅𐤃𐤄	
H5854	sn-mismatch	𐤏𐤈𐤓𐤅𐤕𐤁𐤉𐤕𐤉𐤅𐤀𐤁	𐤉𐤅𐤀𐤁	𐤉𐤅𐤀𐤁	
H1145	sn-mismatch	𐤁𐤍𐤉𐤌𐤉𐤍𐤉	𐤉𐤌𐤉𐤍𐤉	𐤉𐤌𐤉𐤍𐤉	
H1842	sn-mismatch	𐤃𐤍𐤉𐤏𐤍	𐤉𐤏𐤍	𐤉𐤏𐤍	
H1142	sn-mismatch	𐤁𐤍𐤉𐤉𐤏𐤒𐤍	𐤉𐤏𐤒𐤍	𐤉𐤏𐤒𐤍	
H885	sn-mismatch	𐤁𐤀𐤓𐤕𐤁𐤍𐤉𐤉𐤏𐤒𐤍	𐤉𐤏𐤒𐤍	𐤉𐤏𐤒𐤍	
H7157	sn-mismatch	𐤒𐤓𐤉𐤕𐤉𐤏𐤓𐤉𐤌	𐤉𐤏𐤓𐤉𐤌	𐤉𐤏𐤓𐤉𐤌	
H7610	sn-mismatch	𐤔𐤀𐤓𐤉𐤔𐤅𐤁	𐤉𐤔𐤅𐤁	𐤉𐤔𐤅𐤁	
H1033	sn-mismatch	𐤁𐤉𐤕𐤊𐤓	𐤊𐤓	𐤊𐤓	
H64	sn-mismatch	𐤀𐤁𐤋𐤊𐤓𐤌𐤉𐤌	𐤊𐤓𐤌𐤉𐤌	𐤊𐤓𐤌𐤉𐤌	
H3606	root-char-removed	𐤊𐤋	𐤋	𐤋	
H3605	root-char-removed	𐤊𐤋	𐤋	𐤋	
H7945	root-char-removed	𐤔𐤋	𐤋	𐤋	
H1034	sn-mismatch	𐤁𐤉𐤕𐤋𐤁𐤀𐤅𐤕	𐤋𐤁𐤀𐤅𐤕	𐤋𐤁𐤀𐤅𐤕	
H4192	sn-mismatch	𐤌𐤅𐤕	𐤋𐤁𐤍	𐤋𐤁𐤍	
H7884	sn-mismatch	𐤔𐤉𐤇𐤅𐤓𐤋𐤁𐤍𐤕	𐤋𐤁𐤍𐤕	𐤋𐤁𐤍𐤕	
H2006	ok-additive	𐤄𐤍	𐤋𐤄𐤍	𐤋𐤄𐤍	
H7437	sn-mismatch	𐤓𐤌𐤕𐤋𐤇𐤉	𐤋𐤇𐤉	𐤋𐤇𐤉	
H883	sn-mismatch	𐤁𐤀𐤓𐤋𐤇𐤉𐤓𐤀𐤉	𐤋𐤇𐤉	𐤋𐤇𐤉	
H1035	sn-mismatch	𐤁𐤉𐤕𐤋𐤇𐤌	𐤋𐤇𐤌	𐤋𐤇𐤌	
H3433	sn-mismatch	𐤉𐤔𐤁𐤉𐤋𐤇𐤌	𐤋𐤇𐤌	𐤋𐤇𐤌	
H4616	ok-additive	𐤌𐤏𐤍	𐤋𐤌𐤏𐤍	𐤋𐤌𐤏𐤍	
H1036	sn-mismatch	𐤁𐤉𐤕𐤋𐤏𐤐𐤓𐤄	𐤋𐤏𐤐𐤓𐤄	𐤋𐤏𐤐𐤓𐤄	
H1099	sn-mismatch	𐤁𐤋𐤉𐤌𐤄	𐤌𐤄	𐤌𐤄	
H6355	sn-mismatch	𐤐𐤇𐤕𐤌𐤅𐤀𐤁	𐤌𐤅𐤀𐤁	𐤌𐤅𐤀𐤁	
H65	sn-mismatch	𐤀𐤁𐤋𐤌𐤇𐤅𐤋𐤄	𐤌𐤇𐤅𐤋𐤄	𐤌𐤇𐤅𐤋𐤄	
H66	sn-mismatch	𐤀𐤁𐤋𐤌𐤉𐤌	𐤌𐤉𐤌	𐤌𐤉𐤌	
H8528	sn-mismatch	𐤕𐤋𐤌𐤋𐤇	𐤌𐤋𐤇	𐤌𐤋𐤇	
H5898	sn-mismatch	𐤏𐤉𐤓𐤄𐤌𐤋𐤇	𐤌𐤋𐤇	𐤌𐤋𐤇	
H8519	sn-mismatch	𐤕𐤋𐤅𐤍𐤄	𐤌𐤋𐤉𐤍𐤌	𐤌𐤋𐤉𐤍𐤌	
H5419	sn-mismatch	𐤍𐤕𐤍𐤌𐤋𐤊	𐤌𐤋𐤊	𐤌𐤋𐤊	
H5663	sn-mismatch	𐤏𐤁𐤃𐤌𐤋𐤊	𐤌𐤋𐤊	𐤌𐤋𐤊	
H7278	sn-mismatch	𐤓𐤂𐤌𐤌𐤋𐤊	𐤌𐤋𐤊	𐤌𐤋𐤊	
H2679	sn-mismatch	𐤇𐤑𐤉𐤄𐤌𐤍𐤇𐤅𐤕	𐤌𐤍𐤇𐤅𐤕	𐤌𐤍𐤇𐤅𐤕	
H2680	sn-mismatch	𐤇𐤑𐤉𐤄𐤌𐤍𐤇𐤕𐤉	𐤌𐤍𐤇𐤕𐤉	𐤌𐤍𐤇𐤕𐤉	
H1010	sn-mismatch	𐤁𐤉𐤕𐤁𐤏𐤋𐤌𐤏𐤅𐤍	𐤌𐤏𐤅𐤍	𐤌𐤏𐤅𐤍	
H1186	sn-mismatch	𐤁𐤏𐤋𐤌𐤏𐤅𐤍	𐤌𐤏𐤅𐤍	𐤌𐤏𐤅𐤍	
H1038	sn-mismatch	𐤁𐤉𐤕𐤌𐤏𐤊𐤄	𐤌𐤏𐤊𐤄	𐤌𐤏𐤊𐤄	
H62	sn-mismatch	𐤀𐤁𐤋𐤁𐤉𐤕𐤌𐤏𐤊𐤄	𐤌𐤏𐤊𐤄	𐤌𐤏𐤊𐤄	
H7434	sn-mismatch	𐤓𐤌𐤕𐤄𐤌𐤑𐤐𐤄	𐤌𐤑𐤐𐤄	𐤌𐤑𐤐𐤄	
H67	sn-mismatch	𐤀𐤁𐤋𐤌𐤑𐤓𐤉𐤌	𐤌𐤑𐤓𐤉𐤌	𐤌𐤑𐤓𐤉𐤌	
H8112	sn-mismatch	𐤔𐤌𐤓𐤅𐤍𐤌𐤓𐤀𐤅𐤍	𐤌𐤓𐤀𐤅𐤍	𐤌𐤓𐤀𐤅𐤍	
H192	sn-mismatch	𐤀𐤅𐤉𐤋𐤌𐤓𐤃𐤊	𐤌𐤓𐤃𐤊	𐤌𐤓𐤃𐤊	
H1023	sn-mismatch	𐤁𐤉𐤕𐤄𐤌𐤓𐤇𐤒	𐤌𐤓𐤇𐤒	𐤌𐤓𐤇𐤒	
H1024	sn-mismatch	𐤁𐤉𐤕𐤄𐤌𐤓𐤊𐤁𐤅𐤕	𐤌𐤓𐤊𐤁𐤅𐤕	𐤌𐤓𐤊𐤁𐤅𐤕	
H5880	sn-mismatch	𐤏𐤉𐤍𐤌𐤔𐤐𐤈	𐤌𐤔𐤐𐤈	𐤌𐤔𐤐𐤈	
H3212	sn-mismatch	𐤉𐤋𐤊	𐤍𐤀	𐤍𐤀	
H7080	sn-mismatch	𐤒𐤎𐤌	𐤍𐤀	𐤍𐤀	
H5562	sn-mismatch	𐤎𐤌𐤂𐤓𐤍𐤁𐤅	𐤍𐤁𐤅	𐤍𐤁𐤅	
H7418	sn-mismatch	𐤓𐤌𐤅𐤕	𐤍𐤂𐤁	𐤍𐤂𐤁	
H2962	sn-mismatch	𐤈𐤓𐤌	𐤍𐤂𐤃	𐤍𐤂𐤃	
H5664	sn-mismatch	𐤏𐤁𐤃𐤍𐤂𐤅	𐤍𐤂𐤅	𐤍𐤂𐤅	
H5665	sn-mismatch	𐤏𐤁𐤃𐤍𐤂𐤅𐤀	𐤍𐤂𐤅	𐤍𐤂𐤅	
H5665	sn-mismatch	𐤏𐤁𐤃𐤍𐤂𐤅𐤀	𐤍𐤂𐤅𐤀	𐤍𐤂𐤅𐤀	
H763	sn-mismatch	𐤀𐤓𐤌𐤍𐤄𐤓𐤉𐤌	𐤍𐤄𐤓𐤉𐤌	𐤍𐤄𐤓𐤉𐤌	
H5904	sn-mismatch	𐤏𐤉𐤓𐤍𐤇𐤔	𐤍𐤇𐤔	𐤍𐤇𐤔	
H6549	sn-mismatch	𐤐𐤓𐤏𐤄𐤍𐤊𐤄	𐤍𐤊𐤄	𐤍𐤊𐤄	
H6549	sn-mismatch	𐤐𐤓𐤏𐤄𐤍𐤊𐤄	𐤍𐤊𐤅	𐤍𐤊𐤅	
H1039	sn-mismatch	𐤁𐤉𐤕𐤍𐤌𐤓𐤄	𐤍𐤌𐤓𐤄	𐤍𐤌𐤓𐤄	
H3071	sn-mismatch	𐤉𐤄𐤅𐤄𐤍𐤎𐤉	𐤍𐤅𐤎	𐤍𐤎	
