strongs	class	lemma	root_paleo	surface	count
H5312	related	𐤍𐤐𐤒	𐤐𐤒𐤅	𐤐𐤒𐤅	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤅	𐤑𐤀𐤅	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤉	𐤑𐤀𐤉	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤉𐤍𐤄	𐤑𐤀𐤉𐤍𐤄	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H3318	related	𐤉𐤑𐤀	𐤑𐤀𐤕	𐤑𐤀𐤕	
H1323	unrelated	𐤁𐤕	𐤑𐤉𐤅𐤍	𐤑𐤉𐤅𐤍	
H3332	related	𐤉𐤑𐤒	𐤑𐤒𐤕	𐤑𐤒𐤕	
H4723	related	𐤌𐤒𐤅𐤄	𐤒𐤅𐤀	𐤒𐤅𐤀	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤅	𐤒𐤇𐤅	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤉	𐤒𐤇𐤉	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤕	𐤒𐤇𐤕	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤕	𐤒𐤇𐤕	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤕	𐤒𐤇𐤕	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤕	𐤒𐤇𐤕	
H3947	related	𐤋𐤒𐤇	𐤒𐤇𐤕	𐤒𐤇𐤕	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤄	𐤓𐤃𐤄	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤅	𐤓𐤃𐤅	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤉	𐤓𐤃𐤉	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤕	𐤓𐤃𐤕	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤕	𐤓𐤃𐤕	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤕	𐤓𐤃𐤕	
H3381	related	𐤉𐤓𐤃	𐤓𐤃𐤕	𐤓𐤃𐤕	
H1721	related	𐤃𐤃𐤍𐤉𐤌	𐤓𐤅𐤃𐤍𐤉𐤌	𐤓𐤅𐤃𐤍𐤉𐤌	
H1746	related	𐤃𐤅𐤌𐤄	𐤓𐤅𐤌𐤄	𐤓𐤅𐤌𐤄	
H3423	related	𐤉𐤓𐤔	𐤓𐤔𐤅	𐤓𐤔𐤅	
H3423	related	𐤉𐤓𐤔	𐤓𐤔𐤕	𐤓𐤔𐤕	
H3423	related	𐤉𐤓𐤔	𐤓𐤔𐤕	𐤓𐤔𐤕	
H3423	related	𐤉𐤓𐤔	𐤓𐤔𐤕	𐤓𐤔𐤕	
H3423	related	𐤉𐤓𐤔	𐤓𐤔𐤕	𐤓𐤔𐤕	
H5375	related	𐤍𐤔𐤀	𐤔𐤀𐤅	𐤔𐤀𐤅	
H5375	related	𐤍𐤔𐤀	𐤔𐤀𐤅	𐤔𐤀𐤅	
H5375	related	𐤍𐤔𐤀	𐤔𐤀𐤉	𐤔𐤀𐤉	
H5375	related	𐤍𐤔𐤀	𐤔𐤀𐤕	𐤔𐤀𐤕	
H5375	related	𐤍𐤔𐤀	𐤔𐤀𐤕	𐤔𐤀𐤕	
H5375	related	𐤍𐤔𐤀	𐤔𐤀𐤕	𐤔𐤀𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤅	𐤔𐤁𐤅	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤉	𐤔𐤁𐤉	
H5443	related	𐤎𐤁𐤊𐤀	𐤔𐤁𐤊𐤀	𐤔𐤁𐤊𐤀	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕	𐤔𐤁𐤕	
H3427	related	𐤉𐤔𐤁	𐤔𐤁𐤕𐤉	𐤔𐤁𐤕𐤉	
H5493	related	𐤎𐤅𐤓	𐤔𐤅𐤓	𐤔𐤅𐤓	
H3319	related	𐤉𐤑𐤀	𐤔𐤉𐤑𐤉𐤀	𐤔𐤉𐤑𐤉𐤀	
H5531	related	𐤎𐤊𐤋𐤅𐤕	𐤔𐤊𐤋𐤅𐤕	𐤔𐤊𐤋𐤅𐤕	
H3635	prefix-retained	𐤊𐤋𐤋	𐤔𐤊𐤋𐤋	𐤔𐤊𐤋𐤋	
H3635	related	𐤊𐤋𐤋	𐤔𐤊𐤋𐤋𐤄	𐤔𐤊𐤋𐤋𐤄	
H3635	related	𐤊𐤋𐤋	𐤔𐤊𐤋𐤋𐤅	𐤔𐤊𐤋𐤋𐤅	
H5526	unrelated	𐤎𐤊𐤊	𐤔𐤊𐤕𐤉	𐤔𐤊𐤕𐤉	
H3824	unrelated	𐤋𐤁𐤁	𐤔𐤋𐤌	𐤔𐤋𐤌	
H4924	related	𐤌𐤔𐤌𐤍	𐤔𐤌𐤍𐤉	𐤔𐤌𐤍𐤉	
H5587	related	𐤎𐤏𐤐	𐤔𐤏𐤐	𐤔𐤏𐤐	
H5587	related	𐤎𐤏𐤐	𐤔𐤏𐤐	𐤔𐤏𐤐𐤉𐤌	
H830	related	𐤀𐤔𐤐𐤕	𐤔𐤐𐤅𐤕	𐤔𐤐𐤅𐤕	
H5596	related	𐤎𐤐𐤇	𐤔𐤐𐤇	𐤔𐤐𐤇	
H5607	related	𐤎𐤐𐤒	𐤔𐤐𐤒	𐤔𐤐𐤒	
H5640	related	𐤎𐤕𐤌	𐤔𐤕𐤌	𐤔𐤕𐤌	
H3254	related	𐤉𐤎𐤐	𐤀𐤎𐤐𐤅	𐤕𐤀𐤎𐤐𐤅	
H14	related	𐤀𐤁𐤄	𐤁𐤅𐤀	𐤕𐤁𐤀	
H5027	related	𐤍𐤁𐤈	𐤁𐤉𐤈	𐤕𐤁𐤉𐤈	
H5027	related	𐤍𐤁𐤈	𐤁𐤉𐤈	𐤕𐤁𐤉𐤈	
H5042	related	𐤍𐤁𐤏	𐤁𐤏𐤍𐤄	𐤕𐤁𐤏𐤍𐤄	
H5062	related	𐤍𐤂𐤐	𐤂𐤅𐤐	𐤕𐤂𐤅𐤐	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃	𐤕𐤂𐤉𐤃	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃	𐤕𐤂𐤉𐤃	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃𐤅	𐤕𐤂𐤉𐤃𐤅	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃𐤅	𐤕𐤂𐤉𐤃𐤅	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃𐤉	𐤕𐤂𐤉𐤃𐤉	
H5060	related	𐤍𐤂𐤏	𐤂𐤉𐤏	𐤕𐤂𐤉𐤏	
H5066	related	𐤍𐤂𐤔	𐤂𐤉𐤔	𐤕𐤂𐤉𐤔	
