SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤄𐤁𐤃𐤉𐤋𐤅    H14       𐤁𐤃𐤋          H914      𐤁𐤃𐤋          verb
  𐤄𐤁𐤓𐤅        H1305     𐤁𐤓𐤓          H1895     𐤄𐤁𐤓          verb
  𐤄𐤃𐤁𐤓𐤉      H2920     𐤄𐤃𐤁𐤓        H1907     𐤄𐤃𐤁𐤓        subs
  𐤄𐤃𐤄          H1935     𐤄𐤅𐤃          H1911     𐤄𐤃𐤄          subs
  𐤄𐤅𐤋𐤋𐤅𐤕    H1947     𐤄𐤅𐤋𐤋𐤄      H1948     𐤄𐤅𐤋𐤋𐤅𐤕    subs
  𐤄𐤅𐤔𐤁        H3427     𐤉𐤔𐤁          H7725     𐤔𐤅𐤁          verb
  𐤄𐤊𐤍𐤉        H3808     𐤋𐤀            H5221     𐤍𐤊𐤄          verb
  𐤄𐤊𐤓𐤕        H1971     𐤄𐤊𐤓𐤄        H3772     𐤊𐤓𐤕          subs
  𐤄𐤍𐤑𐤅        H1730     𐤃𐤅𐤃          H5132     𐤍𐤅𐤑          verb
  𐤄𐤏𐤁𐤉𐤃      H3967     𐤏𐤁𐤉𐤃        H5647     𐤏𐤁𐤃          verb
  𐤄𐤐𐤋𐤀        H5650     𐤏𐤁𐤃          H6381     𐤐𐤋𐤀          verb
  𐤄𐤐𐤋𐤄        H5307     𐤍𐤐𐤋          H6395     𐤐𐤋𐤄          verb
  𐤄𐤓𐤂𐤍𐤅      H3462     𐤉𐤔𐤍          H2026     𐤄𐤓𐤂          verb
  𐤄𐤓𐤇𐤁        H3808     𐤓𐤇𐤁          H7337     𐤓𐤇𐤁          verb
  𐤄𐤓𐤉𐤌𐤅𐤕    H637      𐤓𐤉𐤌𐤅        H7311     𐤓𐤅𐤌          verb
  𐤄𐤔𐤊𐤇𐤅      H6925     𐤒𐤃𐤌          H7912     𐤔𐤊𐤇          verb
  𐤄𐤔𐤒𐤉𐤐      H444      𐤔𐤒𐤉𐤐        H8259     𐤔𐤒𐤐          verb
  𐤄𐤕𐤁𐤄𐤋𐤄    H2200     𐤆𐤏𐤒          H927      𐤁𐤄𐤋          verb
  𐤄𐤕𐤏𐤉𐤁𐤅    H7200     𐤕𐤏𐤉𐤁        H8581     𐤕𐤏𐤁          verb
  𐤆𐤁𐤅𐤁        H1176     𐤁𐤏𐤋𐤆𐤁𐤅𐤁  H2070     𐤆𐤁𐤅𐤁        subs
  𐤆𐤒𐤍𐤕        H2209     𐤆𐤒𐤍𐤄        H2204     𐤆𐤒𐤍          subs
  𐤆𐤓            H2114     𐤆𐤅𐤓          H2213     𐤆𐤓            adjv
  𐤆𐤓𐤄          H2114     𐤆𐤅𐤓          H2219     𐤆𐤓𐤄          adjv
